No_Event,Event,Swimmers,School,Location,Date,TIME,PL,Against,House.name,Month,Spells,Times
9,200 IM,Lily Potter,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
26,100 BACK,Hermione Granger,Hogwarts,Durmstrang,2019-10-19,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
21,500 FREE,Padma Patil,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Gryffindor,October,NA,0
8,200 IM,Minerva McGonagall,Hogwarts,Ilvermorny,2019-11-10,00:00:00,DQ,Ilvermorny,Gryffindor,November,NA,0
20,500 FREE,Owen Cauldwell,Hogwarts,Hogwarts,2019-11-16,00:00:00,DQ,Uagadou,Hufflepuff,November,NA,0
6,200 FREE,Evan Rosier,Hogwarts,Durmstrang,2019-10-20,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
7,200 IM,Rodolphus Lestrange,Hogwarts,Durmstrang,2019-10-20,00:00:00,DQ,Durmstrang,Slytherin,October,NA,0
27,100  BREAST,Cormac McLaggen,Hogwarts,Durmstrang,2019-10-20,00:00:00,DQ,Durmstrang,Gryffindor,October,NA,0
13,100 FLY,Tracey Davis,Hogwarts,Hogwarts,2019-10-27,00:00:00,DQ,Beauxbatons,Slytherin,October,NA,0
9,200 IM,Victoria Frobisher,Hogwarts,Durmstrang,2019-12-15,00:00:00,DQ,Durmstrang,Gryffindor,December,NA,0
28,100  BREAST,Susan Bones,Hogwarts,Durmstrang,2019-12-15,00:00:00,DQ,Durmstrang,Hufflepuff,December,NA,0
9,200 IM,Bertha Jorkins,Hogwarts,Hogwarts,2019-10-19,00:00:00,DQ,Uagadou,Ravenclaw,October,NA,0
21,500 FREE,Horace Slughorn,Hogwarts,Hogwarts,2019-10-19,00:00:00,DQ,Uagadou,Slytherin,October,NA,0
13,100 FLY,Kevin Entwhistle,Hogwarts,Mahoutokoro,2019-11-10,00:00:00,DQ,Mahoutokoro,Ravenclaw,November,NA,0
19,500 FREE,Luna Lovegood,Hogwarts,Mahoutokoro,2019-11-10,00:00:00,DQ,Mahoutokoro,Ravenclaw,November,NA,0
15,100 FLY,Regulus Black,Hogwarts,Hogwarts,2019-11-16,00:00:00,DQ,Castelobruxo,Slytherin,November,NA,0
3,200 MEDLEY RELAY,Cho Chang,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Ravenclaw,December,NA,0
3,200 MEDLEY RELAY,Marietta Edgecombe,Hogwarts,Durmstrang,2019-12-08,00:00:00,DQ,Durmstrang,Ravenclaw,December,NA,0
