state,total_pop,age_under_18,age_18_24,age_25_44,age_45_64,age_65_plus,race_white,race_black,race_native,race_asian,race_pacific_islander,race_mixed,edu_child_under_15,edu_no_hs_diploma,edu_high_school,edu_some_college,edu_college_degree_plus,irp_below_50,irp_50_100,irp_100_300,irp_300_500,irp_500_plus
AL,4806,1076,490,1152,1332,756,3316,1295,36,62,11,85,880,662,1216,1094,953,290,432,1654,1224,1205
AK,717,181,71,207,168,90,442,24,136,46,17,53,151,69,183,177,137,44,59,212,177,225
AZ,6990,1649,668,1726,1720,1227,5766,342,276,366,20,220,1343,1095,1243,1643,1665,428,498,2554,1606,1904
AR,2924,713,283,718,732,479,2306,451,23,31,12,101,566,458,731,638,532,190,242,1206,632,655
CA,39237,9013,3530,11457,9640,5597,28493,2494,548,6089,294,1319,7416,5750,7105,8819,10147,2236,2636,13207,8421,12738
CO,5527,1254,499,1573,1459,741,4903,220,63,183,4,154,1015,565,927,1170,1850,211,216,1670,1405,2024
CT,3555,758,258,929,974,637,2852,432,3,169,5,94,600,395,758,647,1156,175,213,861,891,1415
DE,967,193,93,240,274,167,655,220,2,46,1,44,166,118,251,203,229,47,41,321,228,330
DC,692,124,69,273,133,93,308,323,3,33,1,24,111,62,95,81,342,50,44,168,107,322
FL,20894,4196,1844,5051,5612,4192,16506,3472,68,550,49,249,3440,2279,5319,4732,5123,1403,1461,7652,4804,5575
GA,10227,2496,875,2825,2733,1299,6178,3298,52,529,29,141,2052,1335,2410,2020,2410,753,602,3797,2210,2864
HI,1402,303,108,383,369,239,297,27,7,567,227,277,255,107,331,319,390,67,77,448,314,496
ID,1732,443,140,466,416,266,1623,15,8,33,10,43,368,190,397,429,348,83,120,654,453,422
IL,12604,2894,1190,3290,3316,1914,9688,1800,109,780,17,209,2298,1445,2690,2727,3443,627,752,3736,3254,4235
IN,6533,1549,652,1676,1622,1034,5642,623,20,111,11,126,1268,769,1698,1491,1306,336,412,2153,1842,1790
IA,3054,739,303,747,775,490,2776,118,8,89,12,51,601,287,689,791,686,142,136,937,870,968
KS,2870,702,266,750,654,499,2470,165,30,75,0,130,598,329,601,633,709,187,235,869,718,861
